Problem,Class,Atributes,Relationship
"Consider a movie database in which data is recorded about the movie industry. The data requirements are summarized as follows: Movies are identified by their title and year of release. They have a length in minutes. They also have a studio that produces the movie and are classified under one or more genres (such as horror, action, drama etc). Movies are directed by one or more directors and have one or more actors acting in them. The movie also has a plot outline. Each movie also has zero or more quotable quotes which are spoken by a particular actor acting in the movie. Actors are identified by their names and date of birth and act in one or more movies. Each actor has a role in the movie. Directors are also identified by their names and date of birth and direct one or more movies. It is possible for a director to act in a movie (not necessarily in a movie they direct). Studios are identified by their names and have an address. They produce one or more movies. Design an Entity-Relationship diagram for the movie order database.","Movie, Studio, Genre, Director, Actor, Quote","Movie [Movie ID, Title, Year, Length, Outline], Studio [Name, Address], Genre [Name], Director [Name, DateOfBirth], Actor [Name, DateOfBirth], Quote [Text]","Movie and Studio, Movie and Genre, Movie and Director, Movie and Actor, Quote and Movie, Quote and Actor, Director and Actor, Studio and Movie"
"Restaurant management systems can include the following: Point-of-sale (POS) System: Used to input orders and record payments. The system captures all transactions, including charges, payments, voids, promo deals, and expenses. Payment Processing: This allows you to accept various payment options like credit or debit cards and mobile payments. Restaurant Inventory Management: Used to monitor current stock, the cost of the items, and more. The system shows the order details and table number when the cook prepares the order. The waiter in the service section serves the customer. The system shows the waiter's name and table number when the waiter serves. Employee Scheduling: Check employee attendance, shifts, and time off. The restaurant has more than one employee. Each employee has a name, age, and gender information. The restaurant has a name and more than one section. These sections are identified by section ID and their names, such as kitchen, service, and cash. Personnel works according to their sections. Personnel can be cooks, waiters, and cashiers. The cook stays in the kitchen and prepares the orders. The waiter in the service section serves the customer. The cashier prepares the check according to the order details in the system. Payroll and Accounting Service: Used to manage employee payroll and monitor the restaurant's cash flow.","Restaurant, Section, Employee, POS, Transaction, Order, Payment, Inventory, Scheduling, Accounting","Restaurant [name, sections], Section [ID, name], Employee [name, age, gender, role, section], POS [orderDetails, paymentDetails, transactionRecords], Transaction [type, amount, date], Order [orderDetails, tableNumber, waiterName, orderStatus], Payment [Type], Inventory [currentStock, itemCost, orderDetails], Scheduling [attendance, shifts, timeOff], Accounting [payroll, cashflow]","Restaurant and Sections, Sections and Employee, POS and Order, Transaction and POS, Payment and POS, Order and Cook, Accounting and Employee, Scheduling and Employee"
"The veterinary clinic wants to create a database to store information about all veterinary services performed. For each admitted animal, its ID, name, breed (if any) and owner must be stored. Each owner has an ID, name, address, and phone number. An animal might be owner-less. This happens frequently as the clinic often rescues abandoned dogs from the streets to treat them and get them new owners. It should be possible to store information about a specific breeds even if no animals of that breed have been treated at the clinic. Each appointment always has a responsible physician. All appointments start at a certain date and time; and are attended by an animal (and of course its owner). For each physician, an ID, his name, address, and phone number should be stored. In an appointment, several medical conditions might be detected. Each condition has a common_name and a scientific_name. No two conditions have the same scientific name. It should be possible to store information about the most common conditions for each different breed in the database.","Animal, Owner, Appointment, Physician, Condition, Breeds","Animal [ID, Name, Breed, Owner], Owner [ID, Name, Address, Phone], Appointment [Date, Time, Physician], Physician [ID, Name, Address, Phone], Condition [Common_Name, Scientific_Name], Breeds [Name]","Animal and Owner, Animal and Breeds, Appointment and Physician, Appointment and Animal, Appointment and Owner, Condition and Breeds"
"A company is comprised of two to eight departments. Each department has an ID and email. A department hires employees for certain projects. Employees working on projects can be temporary employees or permanent employees. Each employee is identified by a name, email, employee ID, employee number. Projects can be of types - production projects, research projects, education projects, and community projects. All projects have a title, description, budget amount, and deadline. In addition , each education project and community project are associated with one funding group. The funding group can be of types - private group, government group, or mixed group. The production projects are characterized by a site code.","Company, Department, Employee, Project, Funding, Production, Education, Community","Department [ID, Email], Employee [Name, Email, ID, Number], Project [Title, Description, Amount, Deadline], Funding [Type], Production [Site]","Company and Department, Department and Employee, Department and Project, Employee and Project, Project and Funding, Project and Production, Education and Funding, Community and Funding"
"Online Food Delivery System (OFDS) is used by many companies for delivering food at the doorstep. Each company has a name. In addition, companies hire employees for food delivery. These employees can be part-time employees or full-time employees. Each employee has a name and type. The system also allows the company to manage multiple vehicles. Each vehicle has a registration number and vehicle type which means a vehicle can be an owned vehicle or a rented vehicle. Employees drive these vehicles for food delivery.","Company, Employee, Vehicle","Company [Name], Employee [Name, Type], Vehicle [Number, Type]","Company and Employee, Company and Vehicle, Employee and Vehicle"
"An event is organized in a venue. An event can be a concert event or a theatrical event. A venue can be an open venue or a closed venue type. Each venue is comprised of multiple seats. These seats have different types of sections. A section can be of types - parquet center, balcony center, and others. Each seat has a number. The events are organized for different shows every 9 pm. Each show has a date.","Event, Venue, Seat, Section, Show","Event [Type], Venue [Type], Seat [Number], Section [Type], Show [Date]","Event and Venue, Venue and Seat, Section and Seat, Show and Event"
"To help the program chair, we are planning to develop a computer-assisted review system. The system will be available to users who can be authors, reviewers, and co-chairs. Each user has a name. Papers are known by the title and whether they are research papers or experience reports. The paper is reviewed by at least three reviewers. On the other side, the authors can submit as many papers as they want. When a reviewer logs in, she can consult the list of papers that have been assigned to her for review, and submit reviews for each of those papers.   Each review has feedback as well as grade that can be Accept or Reject. A final decision is made by the chair for each paper.","User, Paper, Review, Decision, Author, Reviewer","User [Name, Type], Paper [Title, Type], Review [Grade, Feedback], Decision [Final]","Author and Paper, Reviewer and Paper, Paper and Review, Reviewer and Review, Paper and Decision"
"Consider an online auction database system in which members (buyers and sellers) participate in the sale of items. The data requirements for this system are summarized as follows: The online site has members who are identified by a unique member ID and are described by an email address, their name, a password, their home address, and a telephone number. A member may be a buyer or a seller. A buyer has a shipping address recorded in the database. A seller has a bank account number and routing number recorded in the database. Items are placed by a seller for sale and are identified by a unique item number assigned by the system. Items are also described by an item title, an item description, a starting bid price, bidding increment, the start date of the auction, and the end date of the auction. Items are also categorised based on a fixed classification hierarchy (for example a modem may be classified as Computer/Hardware/Modem). Buyers make bids for items they are interested in. A bidding price and time of bid placement is recorded. The person at the end of the auction with the highest bid price is declared the winner and a transaction between the buyer and the seller may proceed soon after. Buyers and sellers may place feedback ratings on the purchase or sale of an item. The feedback contains a rating between 1 and 10 and a comment. Note that the ratings are placed on a completed transaction by the buyer or seller of the item in the transaction. Design an Entity-Relationship diagram for the auction database.","Member, Buyer, Seller, Item, Bid, Transaction, Feedback, Category","Member [ID, Email, Name, Password, Address, Telephone], Buyer [ShippingAddress], Seller [Account, Routing], Item [Number, Title, Description, StartingBid, Increment, StartDate, EndDate], Bid [Price, Time], Transaction [Date, FinalPrice], Feedback [Rating, Comment], Category [Name]","Buyer and Seller, Seller and Item, Item and Bid, Buyer and Bid, Bid and Transaction, Transaction and Feedback, Category and Item"
"Online Library System (OLS) provides easy access to customers to order different library items. A customer can place multiple orders. The status of an order can be pending or completed. Furthermore, each order is composed of multiple item lines. Each item line has a quantity. An item line is associated with a library item. The library item can be a book item or a digital item. Each library item has a status. The status can be available, hold, or loan. The book item can be of types - eBook format or print format. On the other side, the digital item can be an audio item or a video item. In addition, a digital item also has two options - downloadable and disc.","Customer, Order, Line, Item","Order [Status], Line [Quantity], Item [Status, Type]","Customer and Order, Item and Line, Order and Line"
"University admits many students every year. Each student has a name and ID. A student has a status which can either be a part-time student or a full-time student. After admission, students can attend up to five courses in a semester. The courses can be of type - research-based and project-based. University also allows students to drop the courses in the first two weeks. If a student drops the course within the first two weeks then no penalty is imposed by the university.","University, Student, Course","Student [Name, ID, Status], Course [Type]","University and Student, Student and Course"
